country,trending_date,rolling_30d_avg_views
AU,2022-07-23,3891831.0
AU,2022-07-27,3796368.0
AU,2022-07-29,4270725.0
AU,2022-07-30,4474674.0
AU,2022-08-02,4962792.0
AU,2022-08-07,5591054.0
AU,2022-08-11,5564248.0
AU,2022-08-12,5488059.0
AU,2022-08-17,5481200.0
AU,2022-08-19,5515254.0
AU,2022-08-24,5658612.0
AU,2022-08-29,5274736.0
AU,2022-08-30,5078226.0
AU,2022-09-02,5277483.0
AU,2022-09-03,5357535.0
AU,2022-09-05,5419934.0
AU,2022-09-09,5537465.0
AU,2022-09-12,5540862.0
AU,2022-09-13,5461104.0
AU,2022-09-15,5578101.0
AU,2022-09-17,5615593.0
AU,2022-09-18,5502547.0
AU,2022-09-23,5589517.0
AU,2022-09-24,5572141.0
AU,2022-09-26,6172903.0
AU,2022-09-30,6212720.0
AU,2022-10-02,6350058.0
AU,2022-10-03,6786244.0
AU,2022-10-05,6664505.0
AU,2022-10-06,6781685.0
AU,2022-10-07,6695814.0
AU,2022-10-12,6784364.0
AU,2022-10-14,6167229.0
AU,2022-10-16,6055019.0
AU,2022-10-17,5589393.0
AU,2022-10-18,5065694.0
AU,2022-10-21,5259802.0
AU,2022-10-22,5151239.0
AU,2022-10-24,5280316.0
AU,2022-10-25,5208773.0
AU,2022-11-01,5185332.0
AU,2022-11-03,5324717.0
AU,2022-11-04,5291368.0
AU,2022-11-05,5024075.0
AU,2022-11-06,4907660.0
AU,2022-11-07,4866604.0
AU,2022-11-09,5069218.0
AU,2022-11-11,5011574.0
AU,2022-11-12,5089348.0
AU,2022-11-13,5074264.0
AU,2022-11-16,5030607.0
AU,2022-11-18,5022023.0
AU,2022-11-22,5525817.0
AU,2022-11-25,5459238.0
AU,2022-11-28,5771574.0
AU,2022-11-29,8039161.0
AU,2022-12-02,8711580.0
AU,2022-12-03,8303167.0
AU,2022-12-06,9255948.0
AU,2022-12-07,9151852.0
AU,2022-12-09,9014838.0
AU,2022-12-10,9011571.0
AU,2022-12-12,9010351.0
AU,2022-12-15,9013732.0
AU,2022-12-19,9250322.0
AU,2022-12-21,9080489.0
AU,2022-12-25,8970771.0
AU,2022-12-27,8853660.0
AU,2023-01-04,9673840.0
AU,2023-01-07,9768403.0
AU,2023-01-09,9784018.0
AU,2023-01-12,9871135.0
AU,2023-01-16,9977917.0
AU,2023-01-18,10121250.0
AU,2023-01-23,10046051.0
AU,2023-01-25,10155494.0
AU,2023-01-26,9821743.0
AU,2023-01-29,10070188.0
AU,2023-02-03,10443664.0
AU,2023-02-04,10535162.0
AU,2023-02-06,10567038.0
AU,2023-02-07,13083658.0
AU,2023-02-11,12784608.0
AU,2023-02-13,12834350.0
AU,2023-02-14,11985763.0
AU,2023-02-16,9791809.0
AU,2023-02-18,8979930.0
AU,2023-02-20,9148867.0
AU,2023-02-22,8175280.0
AU,2023-02-24,8148947.0
AU,2023-02-26,8099520.0
AU,2023-03-04,8089010.0
AU,2023-03-05,8468318.0
AU,2023-03-06,8490585.0
AU,2023-03-07,8218628.0
AU,2023-03-09,8333295.0
AU,2023-03-10,8335539.0
AU,2023-03-21,9589159.0
AU,2023-03-24,8736965.0
AU,2023-03-26,8665356.0
AU,2023-03-27,8555999.0
AU,2023-03-28,8959865.0
AU,2023-04-01,8896717.0
AU,2023-04-07,8783794.0
AU,2023-04-08,8818567.0
AU,2023-04-09,8704890.0
AU,2023-04-21,9142821.0
AU,2023-04-22,9095318.0
AU,2023-04-26,8702155.0
AU,2023-04-29,8724778.0
AU,2023-04-30,9043810.0
AU,2023-05-04,6727273.0
AU,2023-05-06,6510752.0
AU,2023-05-11,6498656.0
AU,2023-05-13,6445529.0
AU,2023-05-14,6781314.0
AU,2023-05-16,6797878.0
AU,2023-05-17,6987713.0
AU,2023-05-21,7512226.0
AU,2023-05-22,7538168.0
AU,2023-05-25,7608899.0
AU,2023-05-26,7767049.0
AU,2023-05-28,7509958.0
AU,2023-05-30,7828207.0
AU,2023-05-31,7822633.0
AU,2023-06-01,7955371.0
AU,2023-06-05,7932336.0
AU,2023-06-06,6792074.0
AU,2023-06-08,6859279.0
AU,2023-06-10,7017420.0
AU,2023-06-12,7013425.0
AU,2023-06-14,6885201.0
AU,2023-06-15,6887658.0
AU,2023-06-17,6939650.0
AU,2023-06-21,7322517.0
AU,2023-06-23,7387885.0
AU,2023-06-26,7377407.0
AU,2023-07-02,7445252.0
AU,2023-07-05,7433522.0
AU,2023-07-06,7159070.0
AU,2023-07-12,6825649.0
AU,2023-07-15,6886473.0
AU,2023-07-17,7020579.0
AU,2023-07-23,7079678.0
AU,2023-07-24,7064496.0
AU,2023-07-25,6619763.0
AU,2023-07-27,6605426.0
AU,2023-07-29,6191410.0
AU,2023-07-31,5798337.0
AU,2023-08-01,5809996.0
AU,2023-08-02,5735356.0
AU,2023-08-04,5538170.0
AU,2023-08-05,5428959.0
AU,2023-08-08,5165752.0
AU,2023-08-09,5682609.0
AU,2023-08-11,5314673.0
AU,2023-08-12,5405900.0
AU,2023-08-13,5393796.0
AU,2023-08-14,5384341.0
AU,2023-08-17,5330861.0
AU,2023-08-21,5387257.0
AU,2023-08-27,4875041.0
AU,2023-08-28,4805735.0
AU,2023-08-30,4802820.0
AU,2023-09-01,4532838.0
AU,2023-09-02,4495368.0
AU,2023-09-06,5203680.0
AU,2023-09-07,5042157.0
AU,2023-09-12,5145383.0
AU,2023-09-17,5217854.0
AU,2023-09-19,5594657.0
AU,2023-09-20,5404118.0
AU,2023-09-23,5253909.0
AU,2023-09-29,5316614.0
AU,2023-10-02,5580391.0
AU,2023-10-03,5488652.0
AU,2023-10-05,5467372.0
AU,2023-10-07,5428031.0
AU,2023-10-11,5423788.0
AU,2023-10-12,5452638.0
AU,2023-10-13,5440250.0
AU,2023-10-15,5436724.0
AU,2023-10-16,5420269.0
AU,2023-10-20,5392504.0
AU,2023-10-22,4954802.0
AU,2023-10-23,5100485.0
AU,2023-10-24,5188896.0
AU,2023-11-02,5110779.0
AU,2023-11-03,5000015.0
AU,2023-11-07,4987546.0
AU,2023-11-11,4998409.0
AU,2023-11-12,5376139.0
AU,2023-11-22,5669674.0
AU,2023-11-25,5733056.0
AU,2023-11-27,5687157.0
AU,2023-11-28,5590647.0
AU,2023-12-01,4340564.0
AU,2023-12-04,4586789.0
AU,2023-12-08,4660529.0
AU,2023-12-09,4721150.0
AU,2023-12-10,6291441.0
AU,2023-12-11,6373323.0
AU,2023-12-12,6364466.0
AU,2023-12-14,7132996.0
AU,2023-12-18,7014945.0
AU,2023-12-20,7285610.0
AU,2023-12-21,7345830.0
AU,2023-12-22,7383078.0
AU,2023-12-25,7304957.0
AU,2023-12-26,7451337.0
AU,2023-12-27,7481326.0
AU,2023-12-30,7669844.0
AU,2023-12-31,7954011.0
AU,2024-01-01,8085098.0
AU,2024-01-02,8098532.0
AU,2024-01-04,7984509.0
AU,2024-01-05,7951966.0
AU,2024-01-07,7978221.0
AU,2024-01-08,7880552.0
AU,2024-01-13,8190069.0
AU,2024-01-15,8666992.0
AU,2024-01-16,8257315.0
AU,2024-01-17,7956288.0
AU,2024-01-19,7779486.0
AU,2024-01-22,7948391.0
AU,2024-01-23,8012331.0
AU,2024-01-24,8046179.0
AU,2024-01-25,7946811.0
AU,2024-01-26,7845105.0
AU,2024-01-30,7750414.0
AU,2024-01-31,5907757.0
AU,2024-02-02,6140781.0
AU,2024-02-04,6119350.0
AU,2024-02-06,5202916.0
AU,2024-02-10,5162850.0
AU,2024-02-18,4962197.0
AU,2024-02-19,4907490.0
AU,2024-02-21,4914275.0
AU,2024-02-24,5051181.0
AU,2024-03-02,4833989.0
AU,2024-03-05,4990865.0
AU,2024-03-06,4832943.0
AU,2024-03-07,4581285.0
AU,2024-03-14,4887505.0
AU,2024-03-15,4891702.0
AU,2024-03-17,4956331.0
AU,2024-03-26,4827987.0
AU,2024-03-28,5027768.0
AU,2024-03-30,5049417.0
AU,2024-03-31,4628925.0
AU,2024-04-03,4071590.0
AU,2024-04-04,4153149.0
AU,2024-04-07,4429817.0
AU,2024-04-08,4658216.0
AU,2024-04-12,5283241.0
AU,2024-04-16,5321167.0
AU,2024-04-18,5328994.0
AU,2024-04-19,5115752.0
AU,2024-04-20,5155850.0
AU,2024-04-21,5377386.0
AU,2024-04-22,5145171.0
AU,2024-04-23,4834288.0
AU,2024-04-27,4762461.0
AU,2024-05-01,4853224.0
AU,2024-05-02,4860818.0
AU,2024-05-03,4784768.0
AU,2024-05-04,5830969.0
AU,2024-05-05,5880731.0
AU,2024-05-07,6286317.0
AU,2024-05-08,6266107.0
AU,2024-05-10,6172933.0
AU,2024-05-12,6372540.0
AU,2024-05-15,6320326.0
AU,2024-05-17,6058299.0
AU,2024-05-21,5976237.0
AU,2024-05-23,5995904.0
AU,2024-05-26,5944299.0
AU,2024-05-27,5725732.0
AU,2024-06-02,5721023.0
AU,2024-06-08,5764038.0
AU,2024-06-11,5907956.0
AU,2024-06-13,5940895.0
AU,2024-06-14,5811855.0
AU,2024-06-16,6101815.0
AU,2024-06-20,5228852.0
AU,2024-06-21,5290100.0
AU,2024-06-24,5314943.0
AU,2024-06-25,5372977.0
AU,2024-06-28,5581106.0
AU,2024-07-03,5430776.0
AU,2024-07-08,5463781.0
AU,2024-07-09,5440141.0
AU,2024-07-10,5783385.0
AU,2024-07-11,5771778.0
AU,2024-07-12,5921336.0
AU,2024-07-14,7576395.0
AU,2024-07-15,6783916.0
AU,2024-07-17,6812139.0
AU,2024-07-19,6288147.0
AU,2024-07-23,6298478.0
AU,2024-07-24,6396041.0
AU,2024-07-25,6134498.0
AU,2024-07-27,6372466.0
AU,2024-08-02,6388660.0
AU,2024-08-03,6532396.0
AU,2024-08-09,6409756.0
AU,2024-08-10,6508433.0
AU,2024-08-18,6621119.0
AU,2024-08-22,6601289.0
AU,2024-08-25,6542175.0
AU,2024-08-26,6582630.0
AU,2024-08-28,6489008.0
AU,2024-08-31,6548850.0
AU,2024-09-04,6313660.0
AU,2024-09-05,6292096.0
AU,2024-09-07,6522022.0
AU,2024-09-09,6480206.0
AU,2024-09-11,6423145.0
AU,2024-09-13,6444791.0
AU,2024-09-24,6352097.0
AU,2024-09-25,6646500.0
AU,2024-09-26,6874725.0
AU,2024-09-28,6809770.0
AU,2024-10-01,7194048.0
AU,2024-10-03,6945116.0
AU,2024-10-05,5338607.0
AU,2024-10-14,5221403.0
AU,2024-10-16,5072063.0
AU,2024-10-24,5024547.0
AU,2024-10-25,4997218.0
AU,2024-10-27,4816132.0
AU,2024-10-28,4872784.0
AU,2024-10-29,4702540.0
AU,2024-11-06,4667195.0
AU,2024-11-07,4810629.0
AU,2024-11-08,4821901.0
AU,2024-11-13,5318904.0
AU,2024-11-15,5590224.0
AU,2024-11-18,5622786.0
AU,2024-11-19,5832447.0
AU,2024-11-20,5784085.0
AU,2024-11-22,5803011.0
AU,2024-11-23,6572054.0
AU,2024-11-28,6362541.0
AU,2024-12-02,6397266.0
AU,2024-12-12,6127860.0
AU,2024-12-17,6292189.0
AU,2024-12-27,6647017.0
AU,2024-12-31,6315604.0
BR,2022-01-01,691947.0
BR,2022-01-03,1483338.0
BR,2022-01-04,2829839.0
BR,2022-01-06,3136139.0
BR,2022-01-11,13298126.0
BR,2022-01-12,11302089.0
BR,2022-01-13,9945136.0
BR,2022-01-16,9834291.0
BR,2022-01-18,9101755.0
BR,2022-01-19,8455132.0
BR,2022-01-24,7896473.0
BR,2022-01-25,7850183.0
BR,2022-01-26,9569310.0
BR,2022-01-27,9555272.0
BR,2022-01-31,9351709.0
BR,2022-02-07,9980717.0
BR,2022-02-14,11203639.0
BR,2022-02-17,10738305.0
BR,2022-02-18,10292385.0
BR,2022-02-21,9982206.0
BR,2022-02-22,9659252.0
BR,2022-02-24,10365610.0
BR,2022-02-27,10073384.0
BR,2022-03-01,9663690.0
BR,2022-03-03,9302599.0
BR,2022-03-04,8990035.0
BR,2022-03-05,8859186.0
BR,2022-03-10,8591767.0
BR,2022-03-11,8413630.0
BR,2022-03-12,8178601.0
BR,2022-03-14,8229490.0
BR,2022-03-15,8258073.0
BR,2022-03-17,8093167.0
BR,2022-03-19,8236335.0
BR,2022-03-20,8261280.0
BR,2022-03-21,8272750.0
BR,2022-03-23,8557496.0
BR,2022-03-25,8267395.0
BR,2022-03-28,8188010.0
BR,2022-04-06,9700804.0
BR,2022-04-08,9751708.0
BR,2022-04-11,9689511.0
BR,2022-04-12,8734036.0
BR,2022-04-13,8507211.0
BR,2022-04-14,8314931.0
BR,2022-04-16,7770915.0
BR,2022-04-19,6953723.0
BR,2022-04-20,6892516.0
BR,2022-04-22,6907933.0
BR,2022-04-27,6847882.0
BR,2022-05-03,6994958.0
BR,2022-05-04,6209983.0
BR,2022-05-07,6381026.0
BR,2022-05-13,6496831.0
BR,2022-05-14,6631013.0
BR,2022-05-16,6636420.0
BR,2022-05-17,6570442.0
BR,2022-05-18,6634806.0
BR,2022-05-23,6720141.0
BR,2022-05-24,6824156.0
BR,2022-05-26,7213053.0
BR,2022-05-28,7438267.0
BR,2022-05-30,7502651.0
BR,2022-06-02,7743887.0
BR,2022-06-05,5978301.0
BR,2022-06-06,6148280.0
BR,2022-06-07,5844073.0
BR,2022-06-08,6020830.0
BR,2022-06-10,6069875.0
BR,2022-06-11,4687225.0
BR,2022-06-13,4876789.0
BR,2022-06-14,4825996.0
BR,2022-06-15,5608411.0
BR,2022-06-17,5594849.0
BR,2022-06-18,5907299.0
BR,2022-06-20,6113116.0
BR,2022-06-23,6001982.0
BR,2022-07-01,6468547.0
BR,2022-07-04,6766007.0
BR,2022-07-08,6743678.0
BR,2022-07-11,6704954.0
BR,2022-07-12,6675259.0
BR,2022-07-13,6612167.0
BR,2022-07-14,7111921.0
BR,2022-07-18,6987684.0
BR,2022-07-24,7584370.0
BR,2022-07-26,7702271.0
BR,2022-08-02,8095494.0
BR,2022-08-04,7941580.0
BR,2022-08-05,8113399.0
BR,2022-08-06,7761754.0
BR,2022-08-07,7519875.0
BR,2022-08-09,8150600.0
BR,2022-08-12,8540238.0
BR,2022-08-14,8677266.0
BR,2022-08-16,8537335.0
BR,2022-08-17,8704924.0
BR,2022-08-18,8686250.0
BR,2022-08-23,8641733.0
BR,2022-08-25,8687305.0
BR,2022-08-28,8452543.0
BR,2022-08-31,8433650.0
BR,2022-09-02,7688844.0
BR,2022-09-04,7631416.0
BR,2022-09-08,7398785.0
BR,2022-09-10,7408755.0
BR,2022-09-12,7432859.0
BR,2022-09-14,6969161.0
BR,2022-09-15,6622129.0
BR,2022-09-21,6618004.0
BR,2022-09-22,6593102.0
BR,2022-09-27,6687209.0
BR,2022-09-28,6569375.0
BR,2022-10-01,5981593.0
BR,2022-10-04,5988079.0
BR,2022-10-09,5402621.0
BR,2022-10-10,5183810.0
BR,2022-10-14,4770730.0
BR,2022-10-15,5533006.0
BR,2022-10-16,5259843.0
BR,2022-10-17,5231680.0
BR,2022-10-25,5242639.0
BR,2022-10-29,5216334.0
BR,2022-11-01,4724630.0
BR,2022-11-02,5038357.0
BR,2022-11-03,5068865.0
BR,2022-11-05,4940245.0
BR,2022-11-08,5018601.0
BR,2022-11-12,5260756.0
BR,2022-11-14,5118805.0
BR,2022-11-19,6374273.0
BR,2022-11-21,6452567.0
BR,2022-11-24,6558489.0
BR,2022-11-25,6631311.0
BR,2022-11-26,6589210.0
BR,2022-11-28,7250636.0
BR,2022-11-29,7573323.0
BR,2022-11-30,7639859.0
BR,2022-12-04,7803054.0
BR,2022-12-11,8046999.0
BR,2022-12-12,8006771.0
BR,2022-12-15,7951607.0
BR,2022-12-16,8075810.0
BR,2022-12-23,8195494.0
BR,2022-12-24,8448494.0
BR,2022-12-27,8451374.0
BR,2022-12-30,8485731.0
BR,2023-01-04,8498680.0
BR,2023-01-05,7806165.0
BR,2023-01-07,7835997.0
BR,2023-01-08,10348539.0
BR,2023-01-10,10484982.0
BR,2023-01-11,9873715.0
BR,2023-01-13,9607801.0
BR,2023-01-15,9357509.0
BR,2023-01-18,10168269.0
BR,2023-01-20,10201557.0
BR,2023-01-21,10017017.0
BR,2023-01-22,9803283.0
BR,2023-01-23,9796176.0
BR,2023-01-26,8588363.0
BR,2023-01-28,8541327.0
BR,2023-01-29,8361682.0
BR,2023-01-31,8413614.0
BR,2023-02-02,8921598.0
BR,2023-02-05,7952978.0
BR,2023-02-08,7602120.0
BR,2023-02-19,7519448.0
BR,2023-02-20,7378074.0
BR,2023-02-22,7251699.0
BR,2023-02-23,7224173.0
BR,2023-02-28,7199579.0
BR,2023-03-03,7011486.0
BR,2023-03-04,7023567.0
BR,2023-03-05,6758566.0
BR,2023-03-07,7281690.0
BR,2023-03-08,7818552.0
BR,2023-03-12,8222483.0
BR,2023-03-14,8724779.0
BR,2023-03-16,8835306.0
BR,2023-03-19,6294436.0
BR,2023-03-20,6086689.0
BR,2023-03-21,6180491.0
BR,2023-03-22,6052250.0
BR,2023-03-24,5907651.0
BR,2023-03-25,5111411.0
BR,2023-03-26,5556411.0
BR,2023-03-28,5973101.0
BR,2023-04-01,5982836.0
BR,2023-04-03,6052890.0
BR,2023-04-05,6190879.0
BR,2023-04-07,6795503.0
BR,2023-04-10,6977564.0
BR,2023-04-13,7015162.0
BR,2023-04-15,6613645.0
BR,2023-04-17,6609569.0
BR,2023-04-30,6631437.0
BR,2023-05-02,6766880.0
BR,2023-05-05,6742785.0
BR,2023-05-06,6767075.0
BR,2023-05-08,7240151.0
BR,2023-05-09,7269966.0
BR,2023-05-10,7544164.0
BR,2023-05-13,7397952.0
BR,2023-05-17,7401450.0
BR,2023-05-19,6890337.0
BR,2023-05-22,6764169.0
BR,2023-05-31,6291427.0
BR,2023-06-04,5805093.0
BR,2023-06-06,5621815.0
BR,2023-06-09,5951724.0
BR,2023-06-11,5973565.0
BR,2023-06-18,5854362.0
BR,2023-06-19,10560853.0
BR,2023-06-20,10508092.0
BR,2023-06-21,10388791.0
BR,2023-06-22,10354614.0
BR,2023-06-25,10101942.0
BR,2023-06-30,10316965.0
BR,2023-07-01,10422950.0
BR,2023-07-02,10168241.0
BR,2023-07-03,9661341.0
BR,2023-07-06,9662388.0
BR,2023-07-07,10127484.0
BR,2023-07-12,9992550.0
BR,2023-07-16,10259304.0
BR,2023-07-22,10350902.0
BR,2023-07-26,10316646.0
BR,2023-07-27,10692229.0
BR,2023-07-28,10541275.0
BR,2023-07-30,10262126.0
BR,2023-08-02,10300149.0
BR,2023-08-11,10106228.0
BR,2023-08-15,10154829.0
BR,2023-08-17,10426400.0
BR,2023-08-23,10460815.0
BR,2023-08-27,10056352.0
BR,2023-08-30,10225461.0
BR,2023-09-01,10164021.0
BR,2023-09-12,10176111.0
BR,2023-09-13,9898500.0
BR,2023-09-14,9908538.0
BR,2023-09-19,10184031.0
BR,2023-09-22,6037324.0
BR,2023-09-23,6073126.0
BR,2023-09-24,6328507.0
BR,2023-09-26,5871749.0
BR,2023-09-28,5728951.0
BR,2023-09-29,5542427.0
BR,2023-10-01,5313524.0
BR,2023-10-03,5416869.0
BR,2023-10-08,5230865.0
BR,2023-10-14,5203320.0
BR,2023-10-22,4744871.0
BR,2023-10-27,4729611.0
BR,2023-11-07,4494615.0
BR,2023-11-12,6325647.0
BR,2023-11-14,6334228.0
BR,2023-11-15,5966343.0
BR,2023-11-17,5972623.0
BR,2023-11-20,5835915.0
BR,2023-11-25,5936754.0
BR,2023-11-27,7716931.0
BR,2023-12-05,8413495.0
BR,2023-12-08,8257334.0
BR,2023-12-14,8269056.0
BR,2023-12-17,8507295.0
BR,2023-12-18,8460041.0
BR,2023-12-23,8531909.0
BR,2023-12-24,8822943.0
BR,2023-12-27,9243253.0
BR,2024-01-07,9359462.0
BR,2024-01-11,9215844.0
BR,2024-01-17,9301451.0
BR,2024-01-19,9234001.0
BR,2024-01-21,9052523.0
BR,2024-01-24,9039692.0
BR,2024-01-27,9011691.0
BR,2024-01-28,9129582.0
BR,2024-01-31,9140887.0
BR,2024-02-03,9077967.0
BR,2024-02-11,9228417.0
BR,2024-02-18,9412557.0
BR,2024-02-19,9293580.0
BR,2024-02-20,9487773.0
BR,2024-02-21,9534172.0
BR,2024-02-23,7500394.0
BR,2024-02-25,7378916.0
BR,2024-02-27,7381510.0
BR,2024-02-28,7487426.0
BR,2024-03-02,7409427.0
BR,2024-03-07,7281271.0
BR,2024-03-09,5568120.0
BR,2024-03-10,5161018.0
BR,2024-03-14,5055257.0
BR,2024-03-19,5328324.0
BR,2024-03-20,5213013.0
BR,2024-03-22,5312959.0
BR,2024-03-25,5259854.0
BR,2024-03-27,5117323.0
BR,2024-03-28,4652891.0
BR,2024-03-29,4613474.0
BR,2024-04-01,5125763.0
BR,2024-04-03,4532303.0
BR,2024-04-04,4850269.0
BR,2024-04-05,4778062.0
BR,2024-04-11,4891671.0
BR,2024-04-16,4845017.0
BR,2024-04-18,4704975.0
BR,2024-04-19,4647381.0
BR,2024-04-21,4638894.0
BR,2024-04-24,4609502.0
BR,2024-04-26,4540732.0
BR,2024-05-04,4621072.0
BR,2024-05-05,5447221.0
BR,2024-05-12,5562158.0
BR,2024-05-16,7427643.0
BR,2024-05-26,7485797.0
BR,2024-05-28,7676546.0
BR,2024-06-02,7595814.0
BR,2024-06-03,7553315.0
BR,2024-06-05,7573914.0
BR,2024-06-09,7986436.0
BR,2024-06-11,7694016.0
BR,2024-06-13,7979816.0
BR,2024-06-14,7713013.0
BR,2024-06-17,7547988.0
BR,2024-06-19,7631761.0
BR,2024-06-21,7569908.0
BR,2024-06-26,7441187.0
BR,2024-06-27,7612231.0
BR,2024-07-03,7560792.0
BR,2024-07-04,6922523.0
BR,2024-07-05,7632499.0
BR,2024-07-06,7567346.0
BR,2024-07-09,7579866.0
BR,2024-07-11,7571004.0
BR,2024-07-13,7666725.0
BR,2024-07-15,7642033.0
BR,2024-07-17,7820383.0
BR,2024-07-18,7933692.0
BR,2024-07-22,7819770.0
BR,2024-07-26,7583580.0
BR,2024-07-27,7465020.0
BR,2024-07-29,6441966.0
BR,2024-08-04,6300783.0
BR,2024-08-07,4840229.0
BR,2024-08-08,4854178.0
BR,2024-08-10,4662835.0
BR,2024-08-15,4635108.0
BR,2024-08-16,4738421.0
BR,2024-08-19,4905484.0
BR,2024-08-21,4518172.0
BR,2024-08-25,4904615.0
BR,2024-08-31,4723878.0
BR,2024-09-09,4731977.0
BR,2024-09-12,4776736.0
BR,2024-09-19,4878663.0
BR,2024-09-21,5241662.0
BR,2024-09-22,5452721.0
BR,2024-09-23,5389978.0
BR,2024-09-24,6921302.0
BR,2024-09-25,7498179.0
BR,2024-09-29,6783702.0
BR,2024-09-30,6740952.0
BR,2024-10-02,6738063.0
BR,2024-10-03,6820809.0
BR,2024-10-07,8025181.0
BR,2024-10-10,8033616.0
BR,2024-10-15,8753777.0
BR,2024-10-16,8709312.0
BR,2024-10-17,9196536.0
BR,2024-10-18,9339263.0
BR,2024-10-20,9539986.0
BR,2024-10-21,9562533.0
BR,2024-10-23,9558158.0
BR,2024-10-26,9176548.0
BR,2024-10-27,9136305.0
BR,2024-10-28,9290882.0
BR,2024-11-06,9507593.0
BR,2024-11-07,9576695.0
BR,2024-11-14,9348794.0
BR,2024-11-17,11246287.0
BR,2024-11-21,10930271.0
BR,2024-12-01,10967508.0
BR,2024-12-02,11050176.0
BR,2024-12-09,11112127.0
BR,2024-12-13,10699029.0
BR,2024-12-14,10726279.0
BR,2024-12-16,10592050.0
BR,2024-12-24,10554437.0
CA,2022-01-03,506146.0
CA,2022-01-06,418360.0
CA,2022-01-11,1648117.0
CA,2022-01-12,2296941.0
CA,2022-01-14,2984311.0
CA,2022-01-17,3394324.0
CA,2022-01-21,4335329.0
CA,2022-01-22,5411883.0
CA,2022-01-23,7538846.0
CA,2022-01-24,7364005.0
CA,2022-01-26,6773182.0
CA,2022-01-27,6382233.0
CA,2022-02-01,6247004.0
CA,2022-02-03,6071297.0
CA,2022-02-04,5702722.0
CA,2022-02-06,5636957.0
CA,2022-02-10,5665333.0
CA,2022-02-11,5360299.0
CA,2022-02-13,5431294.0
CA,2022-02-14,5336092.0
CA,2022-02-15,5182119.0
CA,2022-02-19,5004576.0
CA,2022-02-20,5027202.0
CA,2022-02-25,4913817.0
CA,2022-02-28,4820873.0
CA,2022-03-01,4998599.0
CA,2022-03-13,4941846.0
CA,2022-03-15,4893649.0
CA,2022-03-23,5130902.0
CA,2022-03-28,5060001.0
CA,2022-03-29,5116214.0
CA,2022-03-31,5157375.0
CA,2022-04-03,5092088.0
CA,2022-04-07,5061368.0
CA,2022-04-11,5080096.0
CA,2022-04-15,4921563.0
CA,2022-04-18,4879699.0
CA,2022-04-19,4496003.0
CA,2022-04-23,3727895.0
CA,2022-04-24,4073366.0
CA,2022-04-25,4053511.0
CA,2022-04-26,4607596.0
CA,2022-04-29,4691331.0
CA,2022-05-02,4604765.0
CA,2022-05-03,4675048.0
CA,2022-05-04,4612075.0
CA,2022-05-06,4544189.0
CA,2022-05-10,4840784.0
CA,2022-05-14,4654156.0
CA,2022-05-15,4558288.0
CA,2022-05-17,4599574.0
CA,2022-05-19,4719295.0
CA,2022-05-21,5087955.0
CA,2022-05-24,5055033.0
CA,2022-05-27,5196569.0
CA,2022-05-31,4907276.0
CA,2022-06-06,4888335.0
CA,2022-06-08,4815935.0
CA,2022-06-09,4494746.0
CA,2022-06-11,4480750.0
CA,2022-06-16,4842377.0
CA,2022-06-19,5295762.0
CA,2022-06-22,5241912.0
CA,2022-06-24,5236214.0
CA,2022-06-26,5137291.0
CA,2022-06-27,5306983.0
CA,2022-06-28,5214333.0
CA,2022-06-29,5254623.0
CA,2022-07-01,5606270.0
CA,2022-07-03,5153975.0
